gbif_download_key	input_checklist	gbif_download_created	gbif_download_status	gbif_download_doi
0000418-260225131425191	./data/output/species_cube_first_4000.csv	2026-02-25T16:43:29Z	SUCCEEDED	https://doi.org/10.15468/dl.53bfyp
0027536-260208012135463	./data/output/species_cube_first_4000.csv	2026-02-18T15:26:02Z	SUCCEEDED	https://doi.org/10.15468/dl.9794tm
0030326-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-11T21:27:32Z	PREPARING	https://doi.org/
0030349-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-11T21:41:28Z	PREPARING	https://doi.org/
0030508-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-11T22:35:47Z	SUCCEEDED	https://doi.org/
0031125-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-12T04:04:32Z	SUCCEEDED	https://doi.org/
0031770-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-12T09:56:01Z	SUCCEEDED	https://doi.org/
0032426-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-12T14:45:05Z	SUCCEEDED	https://doi.org/
0034311-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-13T04:10:00Z	SUCCEEDED	https://doi.org/
0041162-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-16T05:11:24Z	SUCCEEDED	https://doi.org/
0054454-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-23T03:42:41Z	SUCCEEDED	https://doi.org/
0071197-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-03-30T03:59:55Z	SUCCEEDED	https://doi.org/
0092431-260226173443078	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-04-06T03:57:25Z	SUCCEEDED	https://doi.org/
0009557-260409193756587	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-04-13T04:20:16Z	SUCCEEDED	https://doi.org/
0033152-260409193756587	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-04-20T04:19:39Z	SUCCEEDED	https://doi.org/
0009815-260423192947929	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-04-27T04:30:54Z	SUCCEEDED	https://doi.org/
0006165-260430073515954	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-05-04T04:40:26Z	SUCCEEDED	https://doi.org/
0006587-260430073515954	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-05-04T11:49:11Z	SUCCEEDED	https://doi.org/
0010225-260507073636908	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-05-11T04:57:32Z	SUCCEEDED	https://doi.org/
0023343-260507073636908	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-05-18T05:05:24Z	SUCCEEDED	https://doi.org/
0011313-260519110011954	/home/runner/work/build-eu-cube/build-eu-cube/data/output/species_cube_marine_oligohaline.csv	2026-05-25T05:18:33Z	SUCCEEDED	https://doi.org/
